Magazin;Füllraum;Restloch bei körperhöhe (in mm);Drahtlänge (in m) - bei draht-Æ (in mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ 20.25;47;-;25;25,7;26,5;27,5;28,5;30;32;34;36,5;39,5;;;;;;;;;;;;;;-;888;413;238;154;108;81;61;40;28;21;18;-;-
WZ 20.30;80;-;30;30,8;31,5;32,5;33,5;35;37;39;42;45;;;;;;;;;;;;;;-;-;704;405;262;184;138;105;69;47;35;31;27,5;-
WZ 20.37;118;-;37;37;37,5;38,5;40;41,5;43,5;45,5;48;51;;;;;;;;;;;;;;-;-;1039;595;388;270;204;155;102;70;53;46;41;-
WZ 20.47;185;-;47;47,5;48;49;50,5;52;53,5;55,5;58;61;;;;;;;;;;;;;;-;-;-;935;608;425;320;242;160;110;83;72;64;51
WZ 20.60;316;-;60;60;60,5;61,5;63;64,5;66,5;69;72;75;;;;;;;;;;;;;;-;-;-;-;1040;725;545;415;272;188;142;124;109;87
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cm³;10;20;30;40;50;60;70;80;90;100;110;;;;;;;;;;;;;;0,05;0,08;0,1;0,15;0,2;0,25;0,3;0,4;0,5;0,6;0,7;0,8;;
WR10.10 I;0,15;10;11;12,5;14,5;18;--;--;--;--;--;--;;;;;;;;;;;;;;35,5;15,6;10;4,6;2,83;1,84;--;--;--;--;--;--;;
WR10.12 I;0,28;12;13;14,5;16,5;20;--;--;--;--;--;--;;;;;;;;;;;;;;66,2;29,1;18,8;8,7;5,29;3,44;--;--;--;--;--;--;;
WR10.15 I;0,69;15;16;17,5;20;23;--;--;--;--;--;--;;;;;;;;;;;;;;163,3;71,8;46,3;21,5;13;8,49;--;--;--;--;--;--;;
WR10.18 I;1;18;19;20,5;23;26,5;--;--;--;--;--;--;;;;;;;;;;;;;;--;104,1;67,1;31,2;18,9;12,3;8,8;5,07;--;--;--;--;;
WR10.20 I;1,68;20;21;22,5;25;28,5;--;--;--;--;--;--;;;;;;;;;;;;;;--;174,9;112,8;52,4;31,7;20,6;14,8;8,52;--;--;--;--;;
WR10.25 I;3,18;25;26;27,5;30;34;--;--;--;--;--;--;;;;;;;;;;;;;;--;331,1;213,6;99,2;60,1;39,1;28;16,1;--;--;--;--;;
WR10.30 I;5,52;30;31;33;36,5;41;--;--;--;--;--;--;;;;;;;;;;;;;;--;--;370,8;172,2;104,3;67,9;48,6;28;18,1;12,7;--;--;;
WR10.40 I;13,67;40;41,5;44;47,5;54;--;--;--;--;--;--;;;;;;;;;;;;;;--;--;918,4;426,6;258,4;168,3;120,3;69,3;45;31,4;--;--;;
WR15.18 I;0,96;18;18,5;20;21,5;23,5;26;29;--;--;--;--;;;;;;;;;;;;;;--;99,9;64,5;29,9;18,1;11,8;8,45;4,97;3,16;--;--;--;;
WR15.22 I;1,85;22;23;24;25;27;29,5;33;--;--;--;--;;;;;;;;;;;;;;--;192,6;124,3;57,7;34,9;22,7;16,2;9,38;6,09;--;--;--;;
WR15.26 ;3,65;26;27;28;29,5;31,5;34;37;--;--;--;--;;;;;;;;;;;;;;--;380;245,2;113,9;69;44,9;32,1;18,5;12;--;--;--;;
WR15.30 I ;6,25;30;31;32;34;36;38;42;--;--;--;--;;;;;;;;;;;;;;--;650,7;419,9;195;118,1;76,9;55;31,7;20,5;--;--;--;;
WR15.36 I;11,45;36;36,5;37,5;39;41;44;47,5;--;--;--;--;;;;;;;;;;;;;;--;--;769,2;357,3;216,4;140,9;100,8;58;37,7;26,3;19,8;--;;
WR15.42 I;19,25;42;43;44;45;46,5;50;54;--;--;--;--;;;;;;;;;;;;;;--;--;1293;600,7;363,9;237;169,5;97,6;63,4;44,3;33,4;--;;
WR15.48 I;29,2;48;48,5;49,5;51;53;56;60;--;--;--;--;;;;;;;;;;;;;;--;--;1962;911,3;552;359,5;257,1;148,1;96,1;67,2;50,6;--;;
WR20.32 I;7,3;32;32;32,5;33,5;34,5;36;37,5;40;42,5;45,5;48,5;;;;;;;;;;;;;;--;--;490,4;227,8;138;89,8;64,2;37;24;--;--;--;;
WR20.36 I;11,4;36;36;37;38;39;40,5;42;44;47;49,5;53;;;;;;;;;;;;;;--;--;765,9;355,8;215,5;140,3;100,3;57,8;37,5;--;--;--;;
WR20.42 I;19,2;42;42;43;44;45;46;48;50;53;56;59,5;;;;;;;;;;;;;;--;--;--;--;362,9;236,3;169;57,4;63,2;44,2;--;--;;
WR20.45 I;23,2;45;45;46;47;48;49,5;51,5;54;56,5;60;64;;;;;;;;;;;;;;--;--;--;--;438,5;285,6;204,2;117,6;76,4;53,4;40,2;30,5;;
WR20.48 I;29,2;48;48;49;50;51;52,5;54;56;58,5;62;66;;;;;;;;;;;;;;--;--;--;--;552;359,5;257,1;148,1;96,1;67,2;50,6;38,4;;
WR20.55 I;45,3;55;55;56;57;58;59,5;61,5;64;66,5;70;74;;;;;;;;;;;;;;--;--;--;--;856,3;557,7;398,8;229,8;149,2;104,3;78,6;59,5;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cm³;10;20;30;40;50;60;70;80;90;100;110;;;;;;;;;;;;;;0,05;0,08;0,1;0,15;0,2;0,25;0,3;0,4;0,5;0,6;0,7;0,8;;
WR10.20 II;5,15;20;21,5;23;25,5;29;--;--;--;--;--;--;;;;;;;;;;;;;;1218;536,2;346;160,7;97,3;63,4;45,3;26,1;--;--;--;--;;
WR10.25 II;10;25;26;27;30;34;--;--;--;--;--;--;;;;;;;;;;;;;;--;1041;671,8;312,1;189;123,1;88;50,7;32,9;--;--;--;;
WR10.30 II;15,9;30;30;31,5;34;39;--;--;--;--;--;--;;;;;;;;;;;;;;--;--;1068;496,7;300,5;195,7;140;80,6;52,3;--;--;--;;
WR10.36 II;21,9;35;36;37;40;44;--;--;--;--;--;--;;;;;;;;;;;;;;--;--;1471;683,5;413,9;269,6;192,8;111;72,1;50,4;--;--;;
WR10.42 II;31,3;42;43;44;47;51;--;--;--;--;--;--;;;;;;;;;;;;;;--;--;2102;976,8;591,6;385,3;275,6;158,7;103,1;72;--;--;;
WR15.30 II;18,6;30;30,5;31,5;33;35;37,5;40,5;--;--;--;--;;;;;;;;;;;;;;--;1936;1249;580,5;351,6;229;163,7;94,3;61,2;42,8;--;;;
WR15.36 II;32;36;36,5;37,5;39;41;43,5;47;--;--;--;--;;;;;;;;;;;;;;--;--;2150;998,7;604,9;393,9;281,7;162,3;105,4;73,6;--;;;
WR15.42 II;48,6;42;42,5;43;45;47,5;50;54,5;--;--;--;--;;;;;;;;;;;;;;--;--;3265;1516;918,7;598,3;427,9;246,5;160;111,9;84,3;;;
WR15.48 II;69;48;48,5;49,5;51,5;54;57;61,5;--;--;--;--;;;;;;;;;;;;;;--;--;--;2153;1304;849,5;607,5;350;227,2;158,8;119,7;;;
WR20.36 II;36,7;36;36;36,5;37,5;38,5;39,5;41;43,5;46;49;53;;;;;;;;;;;;;;--;--;--;1145;693,7;451,8;323,1;186,1;120,8;84,5;63,7;--;;
WR20.42 II;53,6;42;42;42,5;43;44;45,5;47,5;49,5;52;55,5;59;;;;;;;;;;;;;;--;--;--;1672;1013;659,9;471,9;271,8;176,5;123,4;93;--;;
WR20.48 II;77,1;48;48;48,5;49,5;50,5;52;53,5;56;59;62;66;;;;;;;;;;;;;;--;--;--;--;1457;949,2;678,8;391,1;253,9;177,5;133,8;101,4;;
WR20.56 II;105,8;56;56;56;56,5;57;58,5;60,5;63;66;69,5;73,5;;;;;;;;;;;;;;--;--;--;--;2000;1302;931,5;536,6;348,4;243,6;183,6;139,1;;
WR20.64 II;150,9;64;64;64;64;64,5;66;68;71;74,5;78;83;;;;;;;;;;;;;;--;--;--;--;2852;1857;1328;765,4;496,7;347,4;261,9;198,4;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;5;10;15;20;25;30;40;50;60;70;80;;;;;;;;;;;;;;0,05;0,1;0,15;0,2;0,25;0,3;0,4;0,5;0,6;0,7;;;;
WF 10.04;0,6;4;4,5;5;5,5;6;6,5;8,5;-;-;-;-;;;;;;;;;;;;;;125;40;18;11;-;-;-;-;-;-;;;;
WF 10.06;1,35;6;6,5;7;7,5;8;8,5;10,5;-;-;-;-;;;;;;;;;;;;;;290;90;42;25;16;11;-;-;-;-;;;;
WF 10.08;3,4;8;8,5;9;9,5;10;10,5;12,5;-;-;-;-;;;;;;;;;;;;;;735;228;106;64;41;29;17;-;-;-;;;;
WF 10.10;5,5;10;10,5;11;11,5;12;12,5;14,5;-;-;-;-;;;;;;;;;;;;;;-;368;170;102;67;48;27;18;-;-;;;;
WF 10.12;9;12;12;12;12,5;13;13,6;16;-;-;-;-;;;;;;;;;;;;;;-;604;280;170;110;79;45;29;-;-;;;;
WF 15.06;2,1;6;6,5;6,5;7;7,5;8;8,5;10,5;12,5;-;-;;;;;;;;;;;;;;450;140;65;39;25;18;-;-;-;-;;;;
WF 15.08;5,2;8;8,5;8,5;9;9,5;10;10,5;12;14;-;-;;;;;;;;;;;;;;1120;345;162;98;64;45;26;-;-;-;;;;
WF 15.10;9,2;10;10;10,5;10,5;11;11,5;12;14;16;-;-;;;;;;;;;;;;;;-;615;286;172;113;81;46;30;-;-;;;;
WF 15.12 ;14;12;12;12,5;12,5;12,5;13;14;16;18;-;-;;;;;;;;;;;;;;-;940;435;264;172;123;71;46;-;-;;;;
WF 15.14;20,2;14;14;14,5;14,5;14,5;15;16;18;20,5;-;-;;;;;;;;;;;;;;-;1355;630;380;248;177;102;66;46;-;;;;
WF 15.16;29,6;16;16;16,5;16,5;16,5;17;18;20;22,5;-;-;;;;;;;;;;;;;;-;1985;920;558;364;260;150;97;68;38;;;;
WF 20.08;7,6;8;8;8;8,5;8,5;9;9,5;10,5;12;13,5;15,5;;;;;;;;;;;;;;-;510;235;142;92;66;38;-;-;-;;;;
WF 20.10;13;10;10;10;10,5;10,5;11;11,5;12,5;13,5;15;17;;;;;;;;;;;;;;-;890;405;245;160;104;65;42;-;-;;;;
WF 20.12;20,6;12;12;12;12,5;12,5;13;13,5;14,5;15,5;17;18,5;;;;;;;;;;;;;;-;1380;640;388;252;180;104;67;-;-;;;;
WF 20.14;30,5;14;14;14;14,5;14,5;15;15,5;16,5;17,5;19;21;;;;;;;;;;;;;;-;2045;950;575;375;268;154;100;70;-;;;;
WF 20.16;44,5;16;16;16;16,5;16,5;17;17,5;18,5;19,5;21;23;;;;;;;;;;;;;;-;2985;1380;840;545;390;225;146;102;58;;;;
WF 20.18;61;18;18;18;18,5;18,5;19;19,5;20,5;21,5;23;25;;;;;;;;;;;;;;-;-;1900;1150;750;535;309;200;140;80;;;;
WF 20.20;75;20;20;20;20,5;20,5;21;21,5;22,5;23,5;25;26,5;;;;;;;;;;;;;;-;-;2340;1415;922;660;380;245;172;98;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;5;10;15;20;25;30;40;50;60;;;;;;;;;;;;;;;;0,3;0,4;0,5;0,6;0,7;0,8;0,9;1;;;;;;
WB 10.04;1;4;4,5;5;5,5;6;7;8,5;-;-;;;;;;;;;;;;;;;;8,8;5;3,3;2,3;1,7;1,3;-;-;;;;;;
WB 10.06;2,4;6;6,5;7;7,5;8;9;10,5;-;-;;;;;;;;;;;;;;;;21;12;7,5;5,5;4;3;-;-;;;;;;
WB 10.08;5,2;8;8,5;9;9,5;10;11;12,5;-;-;;;;;;;;;;;;;;;;45;26;17;11,5;9;6,5;-;-;;;;;;
WB 10.10;8,5;10;10,5;11;11,5;12;13;14,5;-;-;;;;;;;;;;;;;;;;74;43;27,5;19,5;14,5;11;-;-;;;;;;
WB 15.04;1,7;4;4,5;5;5,5;6;7;8,5;11;-;;;;;;;;;;;;;;;;14;8,5;5,5;3,5;2,5;2;1,7;0,8;;;;;;
WB 15.06;3,6;6;6,5;6,5;7;7,5;8;9;11;13;;;;;;;;;;;;;;;;31;18;11,5;8;6;4,5;3,5;3;;;;;;
WB 15.08;8;8;8,5;8,5;9;9,5;10;11;13;15;;;;;;;;;;;;;;;;70;40;26;18;13,5;10,5;8;6,5;;;;;;
WB 15.10;13,2;10;10,5;10,5;11;11,5;12;13;15;17;;;;;;;;;;;;;;;;-;66,5;43;30;22,5;17;13,5;11;;;;;;
WB 15.12;21,4;12;12,5;12,5;13;13,5;14;15;17;19;;;;;;;;;;;;;;;;-;108;70;49;37;28;22,5;18;;;;;;
WB 15.15;32,6;15;15,5;15,5;16;16;16,5;17,5;18,5;20;;;;;;;;;;;;;;;;-;165;107;75;56;42;34;28;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;20;30;40;50;60;80;100;120;140;;;;;;;;;;;;;;;;0,4;0,5;0,6;0,7;0,8;0,9;1;1,1;1,2;1,4;;;;
WB 20.08;12;9;10;10,5;11,5;13;17;21,5;-;-;;;;;;;;;;;;;;;;60;39;27,5;20,5;15,5;12,5;10;-;-;-;;;;
WB 20.10;19,6;10,5;11,5;12,5;13,5;14,5;18,5;23;-;-;;;;;;;;;;;;;;;;99;64;45;34;25;20,5;17;13,5;-;-;;;;
WB 20.12;32;12,5;13,5;14,5;15,5;16,5;20,5;25,5;-;-;;;;;;;;;;;;;;;;162;105;73;55;42;33,5;27;22;19;-;;;;
WB 20.15;48,8;15,5;16,5;17,5;18,5;19,5;23;27,5;-;-;;;;;;;;;;;;;;;;-;160;112;84;64;51;42;34;29;-;;;;
WB 20.18;68,8;18,5;19,5;20,5;21,5;22,5;27,5;30,5;-;-;;;;;;;;;;;;;;;;-;226;158;119;90;72;59;48;41;-;;;;
WB 20.22;103,4;22,5;23,5;24;25;26;30,5;33,5;-;-;;;;;;;;;;;;;;;;;340;238;179;135;109;89;72;62;-;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;30;40;50;60;80;100;120;140;190;;;;;;;;;;;;;;;;0,3;0,4;0,5;0,6;0,8;1;1,2;1,4;1,6;1,8;2;2,5;3;3,5
WZ 30.25;36;25,5;26;26,5;27;28,5;30,5;34;38,5;--;;;;;;;;;;;;;;;;316;185;118;82;47;31;21;16;12,5;--;--;--;--;--
WZ 30.28;53;28;28,5;29;29,5;31;33,5;37;42;--;;;;;;;;;;;;;;;;466;272;174;122;69;46;31;23,5;18;--;--;--;--;--
WZ 30.32;98;32,5;33;33,5;34;35;38;41,5;46,5;--;;;;;;;;;;;;;;;;862;502;322;225;138;85;58;44;34;27;--;--;--;--
WZ 30.38;145;38;38,5;38,5;39;40;42,5;46;52;--;;;;;;;;;;;;;;;;--;745;477;333;190;126;86;65;50;40;32;--;--;--
WZ 30.44;180;44;44;44,5;44,5;45,5;48;51,5;56,5;--;;;;;;;;;;;;;;;;--;925;592;414;235;156;106;80;62;49;40;26;--;--
WZ 30.52;308;52;52,5;52,5;53;54,5;57,5;61,5;67;--;;;;;;;;;;;;;;;;--;1582;1014;708;405;268;184;138;106;85;69;43;--;--
WZ 30.60;420;60,5;60,5;61;61,5;63;66,5;71;77;--;;;;;;;;;;;;;;;;--;--;1382;966;552;365;250;188;145;115;95;59;42;--
WZ 30.74;635;74;74,5;74,5;75;75,5;78;82,5;89;--;;;;;;;;;;;;;;;;--;--;2090;1460;835;552;380;285;220;175;142;90;63;--
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cm³;10;20;30;40;50;60;70;80;90;100;110;120;130;140;;;;;;;;;;;0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;0,9;1;;;;
WR30.40 I;14,5;40;40,5;41;41,5;42,5;43,5;45;46,5;48;50;52,5;55;58;60,5;;;;;;;;;;;974,2;274,1;127,6;73,5;47,7;33,3;25,1;19;--;--;;;;
WR30.45 I;22,7;45;45,5;46;46,5;47,5;48,5;50;51,5;53;55;57;59,5;62;66;;;;;;;;;;;1525;429,1;199,8;115,1;74,7;52,2;39,4;29,8;24;--;;;;
WR30.50 I;32,2;50;50,5;51;51,5;52;53;54;56;58;60;62;64,5;67;70;;;;;;;;;;;--;608,7;283,5;163,3;106;74,1;55,9;42,3;34;28;;;;
WR30.60 I;56,8;60;60,5;61;61,5;62;63;64,5;66;68;70;72;74,5;77;81;;;;;;;;;;;--;1073;500,1;288,1;187;130,7;98,6;74,7;60,1;49,4;;;;
WR30.70 I;92,7;70;70,5;71;71,5;72,5;73,5;75;76,5;78;80;82,5;85;87,5;91;;;;;;;;;;;--;1752;816,2;470,2;305,3;213,4;160,9;121,9;98,1;80,6;;;;
WR30.80 I;139;80;80,5;81;81,5;82,5;83,5;85;86,5;88;90;92;94,5;98;102;;;;;;;;;;;--;--;1223;705,1;457,8;320;241,2;182,8;147,1;120,9;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cm³;10;20;30;40;50;60;70;80;90;100;110;120;130;140;;;;;;;;;;;0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;0,9;1;;;;
WR30.36 II;32,9;36;36,5;37;37,5;38;38,5;39,5;41;42,5;44,5;46,5;49;51,5;54;;;;;;;;;;;2210;621,9;289,7;166,8;108,3;75,7;57,1;--;--;--;;;;
WR30.42 II;56,5;42;42,5;42,5;43;43,5;44,5;46;47,5;49;51;53;55;57,5;60;;;;;;;;;;;3796;1068;497,5;286,6;186,1;130,1;98;74,3;--;--;;;;
WR30.48 II;85,7;48;48,5;49;49,5;50;51;52;53,5;55;57;59;62;65;68;;;;;;;;;;;--;1620;754,6;434,7;282,2;197,3;148,7;112,7;--;--;;;;
WR30.56 II;126,9;56;56,5;57;58;59;59,5;60,5;62;63;65;67;70;73;77;;;;;;;;;;;--;2398;1117;643,7;418;292,2;220,2;166,8;134,3;--;;;;
WR30.64 II;175,9;64;64;64,5;65;65,5;66,5;67,5;69;71;73;75;78;81,5;85;;;;;;;;;;;--;--;1548;892,2;579,3;405;305,3;231,3;186,1;--;;;;
WR30.72 II;241,2;72;72;72;72,5;73;73,5;75;76,5;78;80,5;83;86;89;93;;;;;;;;;;;--;--;2123;1223;794,4;555,4;418,6;317,2;255,3;--;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;30;40;50;60;80;100;120;140;190;;;;;;;;;;;;;;;;0,3;0,4;0,5;0,6;0,8;1;1,2;1,4;1,6;1,8;2;2,5;3;3,5
WZ 40.32;100;32;--;33;--;34;36;38,5;42;56;;;;;;;;;;;;;;;;--;505;325;230;131;85;60;44;34;27;22;--;--;-
WZ 40.35;120;35;--;37;--;38;41;44;48;60;;;;;;;;;;;;;;;;--;605;390;275;158;102;72;53;41;33;27;--;--;--
WZ 40.40;190;40;--;41,5;--;43;45;48;52;64;;;;;;;;;;;;;;;;--;960;620;435;248;164;114;85;66;52;43;27;--;--
WZ 40.45;240;45;--;46;--;47;49;52;56;68;;;;;;;;;;;;;;;;--;1215;780;550;315;200;144;106;83;66;54;34;--;--
WZ 40.50;290;50;--;51;--;53;55;58;62;75;;;;;;;;;;;;;;;;--;--;945;670;380;250;174;130;100;80;65;41;29;--
WZ 40.56;410;56;--;57;--;59;61;64;68;81;;;;;;;;;;;;;;;;--;--;1335;945;538;355;245;184;142;112;92;58;42;--
WZ 40.65;590;65;--;66;--;68;70;72,5;76;88;;;;;;;;;;;;;;;;--;--;--;1360;775;510;352;265;205;162;132;84;60;43
WZ 40.80;1010;80;--;81;--;83;85;87,5;91;104;;;;;;;;;;;;;;;;--;--;--;--;1328;878;605;454;350;278;228;142;103;72
WZ40.100;1610;100;--;102;--;104;106;109;113;130;;;;;;;;;;;;;;;;--;--;--;--;2115;1400;965;724;560;445;364;228;165;116
WZ40.120;2400;120;--;122;--;124;127;131;135;154;;;;;;;;;;;;;;;;--;--;--;--;3155;2086;1438;1078;835;664;540;340;245;175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;20;30;40;50;60;70;80;90;100;;;;;;;;;;;;;;;;0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;0,9;;;;;
WF 30.10;18;10,5;10,5;11;12;13;14;15,5;17;19;;;;;;;;;;;;;;;;1208;340;151;91;59;41;-;-;-;;;;;
WF 30.12;28,5;12,5;13;13,5;14,2;15;16;17,5;18,5;20,5;;;;;;;;;;;;;;;;1912;538;250;144;92;65;-;-;-;;;;;
WF 30.14;42,2;14,5;15;15,5;16,2;17;18;19,5;20,5;22,5;;;;;;;;;;;;;;;;2835;778;370;214;138;98;72;55;-;;;;;
WF 30.16;61,6;16,5;17;17,5;18,2;19;20;21;22,5;24;;;;;;;;;;;;;;;;4135;1162;542;312;202;140;106;80;-;;;;;
WF 30.18;85,5;18,5;19;19,5;20;20,5;21,5;22,5;24;25,5;;;;;;;;;;;;;;;;-;1615;752;432;280;195;148;112;-;;;;;
WF 30.20;104,5;20,5;21;21,5;22;23;24;25;26;27,5;;;;;;;;;;;;;;;;-;1965;915;526;342;238;180;135;-;;;;;
WF 30.22;134,5;22,5;23;23,5;24;24,5;25,5;26,5;27,5;29;;;;;;;;;;;;;;;;-;2542;1182;682;442;308;232;175;142;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;20;30;40;50;60;80;100;120;140;;;;;;;;;;;;;;;;0,4;0,5;0,6;0,7;0,8;0,9;1;1,1;1,2;1,4;;;;
WB 30.10;26,6;10;10,8;11,5;12,9;13;15,5;19;22,5;-;;;;;;;;;;;;;;;;-;87;61;46;34;28;23;18;-;-;;;;
WB 30.12;44,2;12;12,8;13,5;14,2;15;17,5;21;25;-;;;;;;;;;;;;;;;;-;145;101;76;58;46;38;31;26;-;;;;
WB 30.15;67,4;15;15,8;16,5;17,2;18;20;23;26,5;-;;;;;;;;;;;;;;;;-;222;155;116;88;71;58;47;40;30;;;;
WB 30.18;95,2;18;18,8;19,5;20,5;21;23,5;26,5;33;-;;;;;;;;;;;;;;;;-;-;218;165;125;100;82;67;57;42;;;;
WB 30.22;143;22;22,5;23;23,5;24;26,5;29,5;33;-;;;;;;;;;;;;;;;;-;-;328;248;188;150;124;100;85;64;;;;
WB 30.28;255;28;29;29,5;29,5;30,5;32,5;36;40;-;;;;;;;;;;;;;;;;-;-;586;442;335;268;220;178;152;114;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;30;50;60;80;100;140;190;200;300;360;;;;;;;;;;;;;;;0,5;0,6;0,7;1;2;3;4;5;;;;;;
WZ 50.50;430;-;50;-;-;54;-;-;74;110;-;;;;;;;;;;;;;;;-;990;735;372;96;44;-;-;;;;;;
WZ 50.60;580;-;60;-;-;64;-;-;84;122;-;;;;;;;;;;;;;;;-;1340;995;502;130;58;33;-;;;;;;
WZ 50.70;870;-;70;-;-;75;-;-;90;125;-;;;;;;;;;;;;;;;-;2010;1490;755;195;88;50;32;;;;;;
WZ 50.85;1320;-;85;-;-;90;-;-;104;128;-;;;;;;;;;;;;;;;-;3050;2265;1145;298;134;76;49;;;;;;
WZ 50.100;1900;-;100;-;-;105;-;-;118;150;-;;;;;;;;;;;;;;;-;-;3260;1650;430;194;110;70;;;;;;
WZ 50.120;2920;-;120;-;-;125;-;-;142;176;-;;;;;;;;;;;;;;;-;-;-;2540;660;298;168;108;;;;;;
WZ 50.140;3800;-;140;-;-;140;-;-;160;200;-;;;;;;;;;;;;;;;-;-;-;3305;860;390;220;140;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;in cm3;30;50;60;80;100;140;190;200;300;360;;;;;;;;;;;;;;;0,5;0,6;0,7;1;2;3;4;5;;;;;;
WZ 60.60;700;-;60;-;-;63;-;-;78;105;137;;;;;;;;;;;;;;;-;-;1200;605;156;71;40;26;;;;;;
WZ 60.70;1020;-;70;-;-;73;-;-;81;104;137;;;;;;;;;;;;;;;-;-;1750;885;230;104;58;38;;;;;;
WZ 60.80;1360;-;80;-;-;83;-;-;92;112;143;;;;;;;;;;;;;;;-;-;2330;1180;306;138;78;50;;;;;;
WZ 60.90;1780;-;90;-;-;93;-;-;102;122;152;;;;;;;;;;;;;;;-;-;3050;1545;400;182;102;66;;;;;;
WZ 60.100;2330;-;100;-;-;103;-;-;112;132;160;;;;;;;;;;;;;;;-;-;-;2027;526;238;134;86;;;;;;
WZ 60.120;3450;-;120;-;-;122;-;-;132;152;183;;;;;;;;;;;;;;;-;-;-;3000;780;354;200;128;;;;;;
WZ 60.140 ;4860;-;140;-;-;142;-;-;152;173;206;;;;;;;;;;;;;;;-;-;-;-;1100;498;282;180;;;;;;
